Numéroatomique,Nom,Symbolechimique,Masseatomique,Massevolumique,Pointdefusion,Pointébullition,Datededécouverte,Découvreurs
35,Brome,Br,79.904,3.14,-7.3,58.8,1826,Balard
34,Sélénium,Se,78.96,4.82,217,685,1817,Berzelius
33,Arsenic,As,74.92159,5.72,613,9999999,v. 1250,Albert le Grand
32,Germanium,Ge,72.61,5.32,937.4,2830,1886,Winkler
31,Gallium,Ga,69.723,5.91,29.8,2403,1875,Lecoq de Boisbaudran
30,Zinc,Zn,65.39,7.14,419.6,907,inconnue,inconnu
29,Cuivre,Cu,63.546,8.92,1083.5,2595,inconnue,inconnu
28,Nickel,Ni,58.69,8.91,1453,2732,1751,Cronstedt
27,Cobalt,Co,58.9332,8.89,1495,2870,1735,Brandt
26,Fer,Fe,55.847,7.87,1535,2750,inconnue,inconnu
25,Manganèse,Mn,54.93805,7.44,1244,2097,1774,Gahn
24,Chrome,Cr,51.9961,7.14,1857,2482,1797,Vauquelin
23,Vanadium,V,50.9415,6.09,1890,3380,1801,del Río
22,Titane,Ti,47.88,4.51,1660,3260,1791,GregoretKlaproth
21,Scandium,Sc,44.95591,2.99,1539,2832,1879,Nilson
20,Calcium,Ca,40.078,1.54,839,1487,1808,Davy
19,Potassium,K,39.0983,0.86,63.7,774,1807,Davy
18,Argon,Ar,39.948,1.66,-189.4,-185.9,1894,RamsayetRayleigh
17,Chlore,Cl,35.4527,2.95,-101,-34.6,1774,Scheele
16,Soufre,S,32.066,2.06,113,444.7,inconnue,inconnu
15,Phosphore,P,30.973762,1.82,44,280,1669,Brandt
14,Silicium,Si,28.0855,2.33,1410,2355,1824,Berzelius
13,Aluminium,Al,26.981539,2.70,660.5,2467,1825,Ørsted
12,Magnésium,Mg,24.305,1.74,648.8,1107,1755,Black
11,Sodium,Na,22.989768,0.97,97.8,892,1807,Davy
10,Néon,Ne,20.1797,0.84,-248.7,-246.1,1898,RamsayetTravers
9,Fluor,F,18.9984032,1.58,-219.6,-188.1,1886,Moissan
8,Oxygène,O,15.9994,1.33,-218.4,-182.9,1774,PriestleyetScheele
7,Azote,N,14.00674,1.17,-209.9,-195.8,1772,Rutherford
6,Carbone,C,12.011,3.51,3550,4827,inconnue,inconnu
5,Bore,B,10.811,2.46,2300,2550,1808,DavyetGay-Lussac
4,Béryllium,Be,9.012182,1.85,1278,2970,1797,Vauquelin
3,Lithium,Li,6.941,0.53,180.5,1317,1817,Arfvedson
2,Hélium,He,4.002602,0.17,-272.2,-268.9,1895,RamsayetCleve
1,Hydrogène,H,1.00794,0.084,-259.1,-252.9,1766,Cavendish
